arrayType;sortMethod;arraySize;duration;comparisons
almost_sorted;std_quicksort;200;66;2929
almost_sorted;std_mergesort;200;37;4435
almost_sorted;string_quicksort;200;1238;4435
almost_sorted;string_mergesort;200;252;5827
almost_sorted;msd_radix_sort;200;718;5827
almost_sorted;msd_radix_sort_switch;200;176;5827
almost_sorted;std_quicksort;300;113;5017
almost_sorted;std_mergesort;300;67;7349
almost_sorted;string_quicksort;300;2812;7349
almost_sorted;string_mergesort;300;405;9477
almost_sorted;msd_radix_sort;300;880;9477
almost_sorted;msd_radix_sort_switch;300;247;9477
almost_sorted;std_quicksort;400;147;6549
almost_sorted;std_mergesort;400;84;9658
almost_sorted;string_quicksort;400;4877;9658
almost_sorted;string_mergesort;400;526;12633
almost_sorted;msd_radix_sort;400;1111;12633
almost_sorted;msd_radix_sort_switch;400;337;12633
almost_sorted;std_quicksort;500;194;8613
almost_sorted;std_mergesort;500;107;12816
almost_sorted;string_quicksort;500;7773;12816
almost_sorted;string_mergesort;500;672;16457
almost_sorted;msd_radix_sort;500;1446;16457
almost_sorted;msd_radix_sort_switch;500;412;16457
almost_sorted;std_quicksort;600;249;11199
almost_sorted;std_mergesort;600;125;16185
almost_sorted;string_quicksort;600;11029;16185
almost_sorted;string_mergesort;600;853;20749
almost_sorted;msd_radix_sort;600;1798;20749
almost_sorted;msd_radix_sort_switch;600;484;20749
almost_sorted;std_quicksort;700;285;13000
almost_sorted;std_mergesort;700;157;18907
almost_sorted;string_quicksort;700;15017;18907
almost_sorted;string_mergesort;700;966;24461
almost_sorted;msd_radix_sort;700;2119;24461
almost_sorted;msd_radix_sort_switch;700;570;24461
almost_sorted;std_quicksort;800;295;13209
almost_sorted;std_mergesort;800;169;19907
almost_sorted;string_quicksort;800;19523;19907
almost_sorted;string_mergesort;800;1130;26311
almost_sorted;msd_radix_sort;800;2484;26311
almost_sorted;msd_radix_sort_switch;800;666;26311
almost_sorted;std_quicksort;900;347;15842
almost_sorted;std_mergesort;900;228;24191
almost_sorted;string_quicksort;900;25673;24191
almost_sorted;string_mergesort;900;1337;31382
almost_sorted;msd_radix_sort;900;2758;31382
almost_sorted;msd_radix_sort_switch;900;756;31382
almost_sorted;std_quicksort;1000;417;18676
almost_sorted;std_mergesort;1000;254;27658
almost_sorted;string_quicksort;1000;30861;27658
almost_sorted;string_mergesort;1000;1453;35518
almost_sorted;msd_radix_sort;1000;2996;35518
almost_sorted;msd_radix_sort_switch;1000;832;35518
almost_sorted;std_quicksort;1100;430;19665
almost_sorted;std_mergesort;1100;265;29435
almost_sorted;string_quicksort;1100;36706;29435
almost_sorted;string_mergesort;1100;1640;38384
almost_sorted;msd_radix_sort;1100;3286;38384
almost_sorted;msd_radix_sort_switch;1100;932;38384
almost_sorted;std_quicksort;1200;457;20263
almost_sorted;std_mergesort;1200;291;30964
almost_sorted;string_quicksort;1200;45232;30964
almost_sorted;string_mergesort;1200;1813;40938
almost_sorted;msd_radix_sort;1200;3537;40938
almost_sorted;msd_radix_sort_switch;1200;1089;40938
almost_sorted;std_quicksort;1300;517;23951
almost_sorted;std_mergesort;1300;311;35528
almost_sorted;string_quicksort;1300;52056;35528
almost_sorted;string_mergesort;1300;1975;46594
almost_sorted;msd_radix_sort;1300;3794;46594
almost_sorted;msd_radix_sort_switch;1300;1092;46594
almost_sorted;std_quicksort;1400;574;26752
almost_sorted;std_mergesort;1400;335;39451
almost_sorted;string_quicksort;1400;60109;39451
almost_sorted;string_mergesort;1400;2100;51479
almost_sorted;msd_radix_sort;1400;4045;51479
almost_sorted;msd_radix_sort_switch;1400;1160;51479
almost_sorted;std_quicksort;1500;607;27694
almost_sorted;std_mergesort;1500;355;41206
almost_sorted;string_quicksort;1500;69224;41206
almost_sorted;string_mergesort;1500;2360;54227
almost_sorted;msd_radix_sort;1500;4409;54227
almost_sorted;msd_radix_sort_switch;1500;1269;54227
almost_sorted;std_quicksort;1600;680;30176
almost_sorted;std_mergesort;1600;388;44717
almost_sorted;string_quicksort;1600;78758;44717
almost_sorted;string_mergesort;1600;2538;58571
almost_sorted;msd_radix_sort;1600;4586;58571
almost_sorted;msd_radix_sort_switch;1600;1320;58571
almost_sorted;std_quicksort;1700;816;36209
almost_sorted;std_mergesort;1700;403;51483
almost_sorted;string_quicksort;1700;88621;51483
almost_sorted;string_mergesort;1700;2662;66279
almost_sorted;msd_radix_sort;1700;5039;66279
almost_sorted;msd_radix_sort_switch;1700;1775;66279
almost_sorted;std_quicksort;1800;739;34049
almost_sorted;std_mergesort;1800;477;51907
almost_sorted;string_quicksort;1800;99470;51907
almost_sorted;string_mergesort;1800;2893;67464
almost_sorted;msd_radix_sort;1800;5289;67464
almost_sorted;msd_radix_sort_switch;1800;1600;67464
almost_sorted;std_quicksort;1900;825;37482
almost_sorted;std_mergesort;1900;493;56009
almost_sorted;string_quicksort;1900;109820;56009
almost_sorted;string_mergesort;1900;2994;72434
almost_sorted;msd_radix_sort;1900;5578;72434
almost_sorted;msd_radix_sort_switch;1900;1739;72434
almost_sorted;std_quicksort;2000;948;42903
almost_sorted;std_mergesort;2000;503;62362
almost_sorted;string_quicksort;2000;122570;62362
almost_sorted;string_mergesort;2000;3326;79434
almost_sorted;msd_radix_sort;2000;6133;79434
almost_sorted;msd_radix_sort_switch;2000;1996;79434
almost_sorted;std_quicksort;2100;896;40988
almost_sorted;std_mergesort;2100;594;61294
almost_sorted;string_quicksort;2100;136049;61294
almost_sorted;string_mergesort;2100;3393;79480
almost_sorted;msd_radix_sort;2100;6099;79480
almost_sorted;msd_radix_sort_switch;2100;1774;79480
almost_sorted;std_quicksort;2200;917;43421
almost_sorted;std_mergesort;2200;554;64646
almost_sorted;string_quicksort;2200;158669;64646
almost_sorted;string_mergesort;2200;3743;84188
almost_sorted;msd_radix_sort;2200;6823;84188
almost_sorted;msd_radix_sort_switch;2200;1992;84188
almost_sorted;std_quicksort;2300;1040;45138
almost_sorted;std_mergesort;2300;1019;67691
almost_sorted;string_quicksort;2300;170471;67691
almost_sorted;string_mergesort;2300;3891;88280
almost_sorted;msd_radix_sort;2300;7121;88280
almost_sorted;msd_radix_sort_switch;2300;2140;88280
almost_sorted;std_quicksort;2400;1184;50001
almost_sorted;std_mergesort;2400;624;73307
almost_sorted;string_quicksort;2400;180675;73307
almost_sorted;string_mergesort;2400;4039;95237
almost_sorted;msd_radix_sort;2400;7038;95237
almost_sorted;msd_radix_sort_switch;2400;2111;95237
almost_sorted;std_quicksort;2500;1144;51100
almost_sorted;std_mergesort;2500;660;75421
almost_sorted;string_quicksort;2500;190944;75421
almost_sorted;string_mergesort;2500;5287;98546
almost_sorted;msd_radix_sort;2500;9149;98546
almost_sorted;msd_radix_sort_switch;2500;2611;98546
almost_sorted;std_quicksort;2600;1577;51680
almost_sorted;std_mergesort;2600;664;76774
almost_sorted;string_quicksort;2600;219559;76774
almost_sorted;string_mergesort;2600;5324;100811
almost_sorted;msd_radix_sort;2600;8828;100811
almost_sorted;msd_radix_sort_switch;2600;2580;100811
almost_sorted;std_quicksort;2700;1149;53990
almost_sorted;std_mergesort;2700;820;80848
almost_sorted;string_quicksort;2700;226246;80848
almost_sorted;string_mergesort;2700;5121;106037
almost_sorted;msd_radix_sort;2700;8012;106037
almost_sorted;msd_radix_sort_switch;2700;2313;106037
almost_sorted;std_quicksort;2800;1143;54389
almost_sorted;std_mergesort;2800;729;82044
almost_sorted;string_quicksort;2800;240643;82044
almost_sorted;string_mergesort;2800;4847;108274
almost_sorted;msd_radix_sort;2800;8767;108274
almost_sorted;msd_radix_sort_switch;2800;2595;108274
almost_sorted;std_quicksort;2900;1197;58470
almost_sorted;std_mergesort;2900;742;87006
almost_sorted;string_quicksort;2900;262446;87006
almost_sorted;string_mergesort;2900;5222;114250
almost_sorted;msd_radix_sort;2900;9209;114250
almost_sorted;msd_radix_sort_switch;2900;2909;114250
almost_sorted;std_quicksort;3000;1141;57322
almost_sorted;std_mergesort;3000;813;86828
almost_sorted;string_quicksort;3000;278334;86828
almost_sorted;string_mergesort;3000;5434;115086
almost_sorted;msd_radix_sort;3000;9197;115086
almost_sorted;msd_radix_sort_switch;3000;2732;115086
